Date,Inflation,Repo_Rate,Repo_Lag_1,Repo_Lag_2,Repo_Lag_3,Predicted,Repo_Lag_4,Repo_Lag_5,Repo_Lag_6,Inflation_Lag_1,RF_Predicted
2012-11-01,9.56,8,8,8,8,8.78972989624419,8,8,8,9.28,9.548699999999986
2012-12-01,10.45,8,8,8,8,9.045427778042672,8,8,8,9.56,10.086800000000006
2013-02-01,10.89,7.75,8,8,8,9.85818175947356,8,8,8,10.45,10.501799999999992
2013-03-01,10.06,7.75,7.75,8,8,10.405192877513237,8,8,8,10.89,10.164799999999987
2013-04-01,9.1,7.5,7.75,7.75,8,9.572752993343617,8,8,8,10.06,9.612900000000007
2013-05-01,9.03,7.5,7.5,7.75,7.75,8.78273240461984,8,8,8,9.1,8.982799999999992
2014-01-01,8.6,7.75,7.5,7.5,7.75,8.644329628188956,7.75,8,8,9.03,8.758300000000006
2014-02-01,7.88,8,7.75,7.5,7.5,8.047908279585325,7.75,7.75,8,8.6,8.0337
2014-03-01,8.25,8,8,7.75,7.5,7.3196775857284315,7.5,7.75,7.75,7.88,7.660999999999998
2014-04-01,8.48,8,8,8,7.75,7.790584676143017,7.5,7.5,7.75,8.25,8.068800000000003
2014-05-01,8.33,8,8,8,8,8.0591645196771,7.75,7.5,7.5,8.48,8.034000000000004
2014-06-01,6.77,8,8,8,8,7.922183511570769,8,7.75,7.5,8.33,7.405199999999996
2014-07-01,7.39,8,8,8,8,6.497581027264942,8,8,7.75,6.77,6.772599999999992
2014-08-01,7.03,8,8,8,8,7.063769194104437,8,8,8,7.39,6.805699999999988
2014-09-01,5.63,8,8,8,8,6.735014774649247,8,8,8,7.03,6.160399999999997
2014-10-01,4.62,8,8,8,8,5.456525365656837,8,8,8,5.63,4.899600000000001
2014-11-01,3.27,8,8,8,8,4.5341865777408845,8,8,8,4.62,4.020199999999998
2014-12-01,4.28,8,8,8,8,3.3013575047839185,8,8,8,3.27,3.7875999999999963
2015-01-01,5.19,8,8,8,8,4.223696292699872,8,8,8,4.28,4.7692
2015-02-01,5.37,7.75,8,8,8,5.054714408544937,8,8,8,5.19,5.188200000000003
2015-03-01,5.25,7.75,7.75,8,8,5.364291779200308,8,8,8,5.37,4.9095
2015-04-01,4.87,7.5,7.75,7.75,8,5.180228666733982,8,8,8,5.25,4.9368000000000025
2015-05-01,5.01,7.5,7.5,7.75,7.75,4.919867976021347,8,8,8,4.87,5.293199999999996
2015-06-01,5.4,7.5,7.5,7.5,7.75,4.973238610939325,7.75,8,8,5.01,5.207399999999996
2015-07-01,3.69,7.25,7.5,7.5,7.5,5.270846934244739,7.75,7.75,8,5.4,4.2181999999999995
2015-08-01,3.74,7.25,7.25,7.5,7.5,3.854463602760357,7.5,7.75,7.75,3.69,4.0430000000000055
2015-09-01,4.41,7.25,7.25,7.25,7.5,3.8256456328145383,7.5,7.5,7.75,3.74,4.272500000000007
2015-10-01,5.0,7.25,7.25,7.25,7.25,4.378951837918434,7.5,7.5,7.5,4.41,4.811699999999999
2015-11-01,5.41,6.75,7.25,7.25,7.25,4.917743803136664,7.25,7.5,7.5,5.0,5.288900000000005
